,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Hawaii,Hawaii,324,1235,308195,308195,26.234817813765183,26.23,26.234817813765183,26.234817813765183,26.23
1,%,%,True,True,New Jersey,New Jersey,2617,9907,4960795,4960795,26.41566569092561,26.42,26.41566569092561,26.41566569092561,26.42
2,%,%,True,True,Alaska,Alaska,696,2533,434746,434746,27.47729964469009,27.48,27.47729964469009,27.47729964469009,27.48
3,%,%,True,True,Connecticut,Connecticut,1616,5667,2330326,2330326,28.515969648844187,28.52,28.515969648844187,28.515969648844187,28.52
4,%,%,True,True,Utah,Utah,2394,8369,2577888,2577888,28.60556816823993,28.61,28.60556816823993,28.60556816823993,28.61
5,%,%,True,True,New York,New York,6867,23278,10858889,10858889,29.499957040982906,29.50,29.499957040982906,29.499957040982906,29.50
6,%,%,True,True,Maryland,Maryland,2033,6735,3020582,3020582,30.185597624350407,30.19,30.185597624350407,30.185597624350407,30.19
7,%,%,True,True,Rhode Island,Rhode Island,486,1608,771405,771405,30.223880597014922,30.22,30.223880597014922,30.223880597014922,30.22
8,%,%,True,True,Wisconsin,Wisconsin,3601,11908,4727246,4727246,30.240174672489083,30.24,30.240174672489083,30.240174672489083,30.24
9,%,%,True,True,North Dakota,North Dakota,459,1512,644623,644623,30.357142857142854,30.36,30.357142857142854,30.357142857142854,30.36
10,%,%,True,True,District of Columbia,District of Columbia,245,806,249751,249751,30.3970223325062,30.40,30.3970223325062,30.3970223325062,30.40
11,%,%,True,True,South Dakota,South Dakota,511,1663,723678,723678,30.727600721587496,30.73,30.727600721587496,30.727600721587496,30.73
12,%,%,True,True,California,California,9897,31857,13815325,13815325,31.06695545719936,31.07,31.06695545719936,31.06695545719936,31.07
13,%,%,True,True,Alabama,Alabama,3121,10041,3269726,3269726,31.08256149785878,31.08,31.08256149785878,31.08256149785878,31.08
14,%,%,True,True,Minnesota,Minnesota,3431,10990,4458035,4458035,31.219290263876253,31.22,31.219290263876253,31.219290263876253,31.22
15,%,%,True,True,Illinois,Illinois,5452,17413,7597266,7597266,31.309940848791136,31.31,31.309940848791136,31.309940848791136,31.31
16,%,%,True,True,Massachusetts,Massachusetts,3395,10805,4894728,4894728,31.420638593243865,31.42,31.420638593243865,31.420638593243865,31.42
17,%,%,True,True,Delaware,Delaware,562,1769,608053,608053,31.76936122102883,31.77,31.76936122102883,31.76936122102883,31.77
18,%,%,True,True,Pennsylvania,Pennsylvania,7078,22198,9701126,9701126,31.885755473466077,31.89,31.885755473466077,31.885755473466077,31.89
19,%,%,True,True,North Carolina,North Carolina,4814,14831,6528578,6528578,32.45903850043827,32.46,32.45903850043827,32.45903850043827,32.46
20,%,%,True,True,Virginia,Virginia,4324,13319,5213717,5213717,32.4648997672498,32.46,32.4648997672498,32.4648997672498,32.46
21,%,%,True,True,Georgia,Georgia,4608,14190,5510193,5510193,32.473572938689216,32.47,32.473572938689216,32.473572938689216,32.47
22,%,%,True,True,Iowa,Iowa,2300,7078,2685614,2685614,32.49505510031082,32.50,32.49505510031082,32.49505510031082,32.50
23,%,%,True,True,Nebraska,Nebraska,1216,3742,1519341,1519341,32.4959914484233,32.50,32.4959914484233,32.4959914484233,32.50
24,%,%,True,True,Michigan,Michigan,5835,17948,7462582,7462582,32.510586137731224,32.51,32.510586137731224,32.510586137731224,32.51
25,%,%,True,True,Arizona,Arizona,3513,10760,3872615,3872615,32.64869888475837,32.65,32.64869888475837,32.64869888475837,32.65
26,%,%,True,True,Idaho,Idaho,1330,4071,1541463,1541463,32.670105625153525,32.67,32.670105625153525,32.670105625153525,32.67
27,%,%,True,True,Vermont,Vermont,504,1535,595151,595151,32.83387622149837,32.83,32.83387622149837,32.83387622149837,32.83
28,%,%,True,True,Kansas,Kansas,1958,5872,2192217,2192217,33.344686648501366,33.34,33.344686648501366,33.344686648501366,33.34
29,%,%,True,True,Ohio,Ohio,7977,23904,9149813,9149813,33.37098393574297,33.37,33.37098393574297,33.37098393574297,33.37
30,%,%,True,True,Florida,Florida,8041,24076,11467951,11467951,33.39840505067287,33.40,33.39840505067287,33.39840505067287,33.40
31,%,%,True,True,New Hampshire,New Hampshire,1014,2988,1238184,1238184,33.93574297188755,33.94,33.93574297188755,33.93574297188755,33.94
32,%,%,True,True,South Carolina,South Carolina,2756,8120,3290272,3290272,33.94088669950739,33.94,33.94088669950739,33.94088669950739,33.94
33,%,%,True,True,Mississippi,Mississippi,1467,4284,1652517,1652517,34.2436974789916,34.24,34.2436974789916,34.2436974789916,34.24
34,%,%,True,True,Wyoming,Wyoming,463,1347,482320,482320,34.372680029695616,34.37,34.372680029695616,34.372680029695616,34.37
35,%,%,True,True,Texas,Texas,9901,28550,11885058,11885058,34.67950963222417,34.68,34.67950963222417,34.67950963222417,34.68
36,%,%,True,True,West Virginia,West Virginia,1479,4260,1632071,1632071,34.71830985915493,34.72,34.71830985915493,34.71830985915493,34.72
37,%,%,True,True,Indiana,Indiana,5366,15410,5276416,5276416,34.821544451654766,34.82,34.821544451654766,34.821544451654766,34.82
38,%,%,True,True,Colorado,Colorado,3935,11206,3893018,3893018,35.115116901659825,35.12,35.115116901659825,35.115116901659825,35.12
39,%,%,True,True,Louisiana,Louisiana,1907,5385,2676273,2676273,35.413184772516246,35.41,35.413184772516246,35.413184772516246,35.41
40,%,%,True,True,Kentucky,Kentucky,3475,9748,3765843,3765843,35.64833812064013,35.65,35.64833812064013,35.64833812064013,35.65
41,%,%,True,True,Missouri,Missouri,4269,11874,4854359,4854359,35.952501263264274,35.95,35.952501263264274,35.952501263264274,35.95
42,%,%,True,True,Maine,Maine,1280,3493,1269535,1269535,36.64471800744346,36.64,36.64471800744346,36.64471800744346,36.64
43,%,%,True,True,Arkansas,Arkansas,2388,6436,2156694,2156694,37.10379117464264,37.10,37.10379117464264,37.10379117464264,37.10
44,%,%,True,True,Tennessee,Tennessee,4948,13273,5097174,5097174,37.27868605439614,37.28,37.27868605439614,37.27868605439614,37.28
45,%,%,True,True,Washington,Washington,4871,13039,5111255,5111255,37.3571592913567,37.36,37.3571592913567,37.3571592913567,37.36
46,%,%,True,True,Nevada,Nevada,1246,3306,1464563,1464563,37.68905021173624,37.69,37.68905021173624,37.68905021173624,37.69
