,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,New Jersey,New Jersey,36,170,14320,14320,21.176470588235293,21.18,21.176470588235293,21.176470588235293,21.18
1,%,%,True,True,Connecticut,Connecticut,35,134,8111,8111,26.119402985074625,26.12,26.119402985074625,26.119402985074625,26.12
2,%,%,True,True,Delaware,Delaware,19,72,3033,3033,26.38888888888889,26.39,26.38888888888889,26.38888888888889,26.39
3,%,%,True,True,Idaho,Idaho,65,239,20059,20059,27.19665271966527,27.20,27.19665271966527,27.19665271966527,27.20
4,%,%,True,True,Arizona,Arizona,239,845,279130,279130,28.28402366863905,28.28,28.28402366863905,28.28402366863905,28.28
5,%,%,True,True,New York,New York,174,613,60197,60197,28.38499184339315,28.38,28.38499184339315,28.38499184339315,28.38
6,%,%,True,True,Pennsylvania,Pennsylvania,130,446,19021,19021,29.14798206278027,29.15,29.14798206278027,29.14798206278027,29.15
7,%,%,True,True,Utah,Utah,74,253,31014,31014,29.249011857707508,29.25,29.249011857707508,29.249011857707508,29.25
8,%,%,True,True,Virginia,Virginia,65,218,23140,23140,29.81651376146789,29.82,29.81651376146789,29.81651376146789,29.82
9,%,%,True,True,Massachusetts,Massachusetts,59,197,12835,12835,29.949238578680205,29.95,29.949238578680205,29.949238578680205,29.95
10,%,%,True,True,District of Columbia,District of Columbia,7,23,1383,1383,30.434782608695656,30.43,30.434782608695656,30.434782608695656,30.43
11,%,%,True,True,California,California,474,1554,160861,160861,30.501930501930502,30.50,30.501930501930502,30.501930501930502,30.50
12,%,%,True,True,Hawaii,Hawaii,18,59,3099,3099,30.508474576271187,30.51,30.508474576271187,30.508474576271187,30.51
13,%,%,True,True,New Hampshire,New Hampshire,20,65,2960,2960,30.76923076923077,30.77,30.76923076923077,30.76923076923077,30.77
14,%,%,True,True,Georgia,Georgia,92,299,24975,24975,30.76923076923077,30.77,30.76923076923077,30.76923076923077,30.77
15,%,%,True,True,Mississippi,Mississippi,45,146,14992,14992,30.82191780821918,30.82,30.82191780821918,30.82191780821918,30.82
16,%,%,True,True,Kansas,Kansas,100,324,23301,23301,30.864197530864196,30.86,30.864197530864196,30.864197530864196,30.86
17,%,%,True,True,Alabama,Alabama,116,374,28165,28165,31.016042780748666,31.02,31.016042780748666,31.016042780748666,31.02
18,%,%,True,True,Florida,Florida,185,593,55453,55453,31.197301854974707,31.20,31.197301854974707,31.197301854974707,31.20
19,%,%,True,True,Texas,Texas,325,1038,96976,96976,31.3102119460501,31.31,31.3102119460501,31.3102119460501,31.31
20,%,%,True,True,Nevada,Nevada,57,182,26502,26502,31.318681318681318,31.32,31.318681318681318,31.318681318681318,31.32
21,%,%,True,True,Illinois,Illinois,118,376,19819,19819,31.382978723404253,31.38,31.382978723404253,31.382978723404253,31.38
22,%,%,True,True,New Mexico,New Mexico,127,399,186151,186151,31.82957393483709,31.83,31.82957393483709,31.82957393483709,31.83
23,%,%,True,True,Ohio,Ohio,186,580,22944,22944,32.068965517241374,32.07,32.068965517241374,32.068965517241374,32.07
24,%,%,True,True,Maryland,Maryland,59,183,14865,14865,32.240437158469945,32.24,32.240437158469945,32.240437158469945,32.24
25,%,%,True,True,Kentucky,Kentucky,84,259,9313,9313,32.432432432432435,32.43,32.432432432432435,32.432432432432435,32.43
