,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Delaware,Delaware,18,226,41957,41957,7.964601769911504,7.96,7.964601769911504,7.964601769911504,7.96
1,%,%,True,True,New Jersey,New Jersey,248,2398,942292,942292,10.341951626355296,10.34,10.341951626355296,10.341951626355296,10.34
2,%,%,True,True,Louisiana,Louisiana,24,231,85860,85860,10.38961038961039,10.39,10.38961038961039,10.38961038961039,10.39
3,%,%,True,True,Texas,Texas,506,4406,1584396,1584396,11.484339536995007,11.48,11.484339536995007,11.484339536995007,11.48
4,%,%,True,True,New York,New York,548,4631,1812286,1812286,11.83329734398618,11.83,11.83329734398618,11.83329734398618,11.83
5,%,%,True,True,Virginia,Virginia,214,1777,614516,614516,12.042768711311199,12.04,12.042768711311199,12.042768711311199,12.04
6,%,%,True,True,Illinois,Illinois,254,2078,756590,756590,12.223291626564004,12.22,12.223291626564004,12.223291626564004,12.22
7,%,%,True,True,Maryland,Maryland,156,1264,421227,421227,12.341772151898734,12.34,12.341772151898734,12.341772151898734,12.34
8,%,%,True,True,Massachusetts,Massachusetts,179,1435,520119,520119,12.473867595818815,12.47,12.473867595818815,12.473867595818815,12.47
9,%,%,True,True,North Dakota,North Dakota,6,48,13076,13076,12.5,12.50,12.5,12.5,12.50
10,%,%,True,True,California,California,2040,16155,6136428,6136428,12.627669452181985,12.63,12.627669452181985,12.627669452181985,12.63
11,%,%,True,True,Missouri,Missouri,53,408,144420,144420,12.990196078431374,12.99,12.990196078431374,12.990196078431374,12.99
12,%,%,True,True,Georgia,Georgia,196,1500,490433,490433,13.066666666666665,13.07,13.066666666666665,13.066666666666665,13.07
13,%,%,True,True,Kentucky,Kentucky,40,298,78406,78406,13.422818791946309,13.42,13.422818791946309,13.422818791946309,13.42
14,%,%,True,True,Pennsylvania,Pennsylvania,185,1373,503783,503783,13.47414420975965,13.47,13.47414420975965,13.47414420975965,13.47
15,%,%,True,True,Connecticut,Connecticut,85,630,179054,179054,13.492063492063492,13.49,13.492063492063492,13.492063492063492,13.49
16,%,%,True,True,Indiana,Indiana,91,674,183573,183573,13.501483679525222,13.50,13.501483679525222,13.501483679525222,13.50
17,%,%,True,True,North Carolina,North Carolina,141,1034,353832,353832,13.636363636363635,13.64,13.636363636363635,13.636363636363635,13.64
18,%,%,True,True,New Mexico,New Mexico,20,143,35760,35760,13.986013986013987,13.99,13.986013986013987,13.986013986013987,13.99
19,%,%,True,True,Michigan,Michigan,155,1070,341843,341843,14.485981308411214,14.49,14.485981308411214,14.485981308411214,14.49
20,%,%,True,True,Florida,Florida,289,1976,650132,650132,14.625506072874494,14.63,14.625506072874494,14.625506072874494,14.63
21,%,%,True,True,Alabama,Alabama,64,432,78576,78576,14.814814814814813,14.81,14.814814814814813,14.814814814814813,14.81
22,%,%,True,True,Colorado,Colorado,144,961,206559,206559,14.984391259105099,14.98,14.984391259105099,14.984391259105099,14.98
23,%,%,True,True,South Carolina,South Carolina,45,296,100149,100149,15.202702702702704,15.20,15.202702702702704,15.202702702702704,15.20
24,%,%,True,True,Ohio,Ohio,147,965,313413,313413,15.233160621761657,15.23,15.233160621761657,15.233160621761657,15.23
25,%,%,True,True,District of Columbia,District of Columbia,22,144,29628,29628,15.277777777777779,15.28,15.277777777777779,15.277777777777779,15.28
26,%,%,True,True,Arizona,Arizona,165,1074,270631,270631,15.363128491620111,15.36,15.363128491620111,15.363128491620111,15.36
27,%,%,True,True,Vermont,Vermont,7,45,12952,12952,15.555555555555555,15.56,15.555555555555555,15.555555555555555,15.56
28,%,%,True,True,Wisconsin,Wisconsin,87,548,185474,185474,15.875912408759124,15.88,15.875912408759124,15.875912408759124,15.88
29,%,%,True,True,Mississippi,Mississippi,14,87,33735,33735,16.091954022988507,16.09,16.091954022988507,16.091954022988507,16.09
30,%,%,True,True,Minnesota,Minnesota,164,1018,305845,305845,16.110019646365423,16.11,16.110019646365423,16.110019646365423,16.11
31,%,%,True,True,Nevada,Nevada,127,778,292101,292101,16.323907455012854,16.32,16.323907455012854,16.323907455012854,16.32
32,%,%,True,True,Oklahoma,Oklahoma,55,333,102892,102892,16.516516516516518,16.52,16.516516516516518,16.516516516516518,16.52
33,%,%,True,True,Washington,Washington,368,2228,813284,813284,16.517055655296232,16.52,16.517055655296232,16.517055655296232,16.52
34,%,%,True,True,Arkansas,Arkansas,45,267,64245,64245,16.853932584269664,16.85,16.853932584269664,16.853932584269664,16.85
35,%,%,True,True,Tennessee,Tennessee,65,384,139839,139839,16.927083333333336,16.93,16.927083333333336,16.927083333333336,16.93
36,%,%,True,True,Oregon,Oregon,116,683,221414,221414,16.98389458272328,16.98,16.98389458272328,16.98389458272328,16.98
37,%,%,True,True,New Hampshire,New Hampshire,23,134,42740,42740,17.16417910447761,17.16,17.16417910447761,17.16417910447761,17.16
38,%,%,True,True,Hawaii,Hawaii,283,1638,651433,651433,17.277167277167276,17.28,17.277167277167276,17.277167277167276,17.28
39,%,%,True,True,Kansas,Kansas,54,305,94576,94576,17.704918032786885,17.70,17.704918032786885,17.704918032786885,17.70
40,%,%,True,True,Alaska,Alaska,55,306,58213,58213,17.973856209150327,17.97,17.973856209150327,17.973856209150327,17.97
41,%,%,True,True,Iowa,Iowa,53,293,91780,91780,18.088737201365188,18.09,18.088737201365188,18.088737201365188,18.09
42,%,%,True,True,Utah,Utah,79,417,119717,119717,18.94484412470024,18.94,18.94484412470024,18.94484412470024,18.94
