,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Hawaii,Hawaii,737,3622,1441553,1441553,20.34787410270569,20.35,20.34787410270569,20.34787410270569,20.35
1,%,%,True,True,New Jersey,New Jersey,3894,17968,9267130,9267130,21.67186108637578,21.67,21.67186108637578,21.67186108637578,21.67
2,%,%,True,True,California,California,20582,89990,39237836,39237836,22.871430158906545,22.87,22.871430158906545,22.871430158906545,22.87
3,%,%,True,True,Maryland,Maryland,3285,13636,6165129,6165129,24.09064241713112,24.09,24.09064241713112,24.09064241713112,24.09
4,%,%,True,True,District of Columbia,District of Columbia,471,1934,670050,670050,24.35367114788004,24.35,24.35367114788004,24.35367114788004,24.35
5,%,%,True,True,Connecticut,Connecticut,2169,8838,3605597,3605597,24.54175152749491,24.54,24.54175152749491,24.54175152749491,24.54
6,%,%,True,True,New York,New York,9900,39537,19835913,19835913,25.039836102890963,25.04,25.039836102890963,25.039836102890963,25.04
7,%,%,True,True,Utah,Utah,2878,11398,3337975,3337975,25.250043867345145,25.25,25.250043867345145,25.250043867345145,25.25
8,%,%,True,True,Massachusetts,Massachusetts,4009,15730,6984723,6984723,25.486331849968213,25.49,25.486331849968213,25.486331849968213,25.49
9,%,%,True,True,Illinois,Illinois,7174,27818,12671469,12671469,25.789057444819903,25.79,25.789057444819903,25.789057444819903,25.79
10,%,%,True,True,Virginia,Virginia,5440,20998,8642274,8642274,25.907229259929515,25.91,25.907229259929515,25.907229259929515,25.91
11,%,%,True,True,Delaware,Delaware,760,2914,1003384,1003384,26.08098833218943,26.08,26.08098833218943,26.08098833218943,26.08
12,%,%,True,True,Texas,Texas,16529,63351,29527941,29527941,26.091142996953483,26.09,26.091142996953483,26.091142996953483,26.09
13,%,%,True,True,Georgia,Georgia,6329,24070,10799566,10799566,26.294142085583715,26.29,26.294142085583715,26.294142085583715,26.29
14,%,%,True,True,Florida,Florida,10656,40050,21781128,21781128,26.60674157303371,26.61,26.60674157303371,26.60674157303371,26.61
15,%,%,True,True,Rhode Island,Rhode Island,594,2149,1095610,1095610,27.64076314564914,27.64,27.64076314564914,27.64076314564914,27.64
16,%,%,True,True,Wisconsin,Wisconsin,3983,14210,5895908,5895908,28.029556650246306,28.03,28.029556650246306,28.029556650246306,28.03
17,%,%,True,True,North Carolina,North Carolina,6417,22852,10551162,10551162,28.08069315596009,28.08,28.08069315596009,28.08069315596009,28.08
18,%,%,True,True,Nevada,Nevada,1925,6798,3143991,3143991,28.317152103559874,28.32,28.317152103559874,28.317152103559874,28.32
19,%,%,True,True,Minnesota,Minnesota,4248,14993,5707390,5707390,28.33322217034616,28.33,28.33322217034616,28.33322217034616,28.33
20,%,%,True,True,Pennsylvania,Pennsylvania,7765,27319,12964056,12964056,28.42344156081848,28.42,28.42344156081848,28.42344156081848,28.42
21,%,%,True,True,Alabama,Alabama,3077,10822,5039877,5039877,28.432822029199777,28.43,28.432822029199777,28.432822029199777,28.43
22,%,%,True,True,Arizona,Arizona,4968,17438,7276316,7276316,28.489505677256567,28.49,28.489505677256567,28.489505677256567,28.49
23,%,%,True,True,North Dakota,North Dakota,560,1957,774948,774948,28.615227388860497,28.62,28.615227388860497,28.615227388860497,28.62
24,%,%,True,True,Alaska,Alaska,777,2695,732673,732673,28.83116883116883,28.83,28.83116883116883,28.83116883116883,28.83
