,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,New Jersey,New Jersey,114,573,14320,14320,19.895287958115183,19.90,19.895287958115183,19.895287958115183,19.90
1,%,%,True,True,District of Columbia,District of Columbia,22,99,1383,1383,22.22222222222222,22.22,22.22222222222222,22.22222222222222,22.22
2,%,%,True,True,Arizona,Arizona,837,3198,279130,279130,26.172607879924954,26.17,26.172607879924954,26.172607879924954,26.17
3,%,%,True,True,New York,New York,493,1867,60197,60197,26.40599892876272,26.41,26.40599892876272,26.40599892876272,26.41
4,%,%,True,True,Connecticut,Connecticut,101,381,8111,8111,26.509186351706038,26.51,26.509186351706038,26.509186351706038,26.51
5,%,%,True,True,Alabama,Alabama,320,1167,28165,28165,27.420736932305058,27.42,27.420736932305058,27.420736932305058,27.42
6,%,%,True,True,Georgia,Georgia,257,928,24975,24975,27.69396551724138,27.69,27.69396551724138,27.69396551724138,27.69
7,%,%,True,True,Hawaii,Hawaii,61,216,3099,3099,28.240740740740737,28.24,28.240740740740737,28.240740740740737,28.24
8,%,%,True,True,Indiana,Indiana,432,1527,15815,15815,28.290766208251473,28.29,28.290766208251473,28.290766208251473,28.29
9,%,%,True,True,Utah,Utah,217,766,31014,31014,28.3289817232376,28.33,28.3289817232376,28.3289817232376,28.33
10,%,%,True,True,New Mexico,New Mexico,361,1272,186151,186151,28.38050314465409,28.38,28.38050314465409,28.38050314465409,28.38
11,%,%,True,True,Maryland,Maryland,148,519,14865,14865,28.516377649325626,28.52,28.516377649325626,28.516377649325626,28.52
12,%,%,True,True,Illinois,Illinois,356,1246,19819,19819,28.57142857142857,28.57,28.57142857142857,28.57142857142857,28.57
13,%,%,True,True,Delaware,Delaware,56,195,3033,3033,28.717948717948715,28.72,28.717948717948715,28.717948717948715,28.72
14,%,%,True,True,Mississippi,Mississippi,114,388,14992,14992,29.381443298969074,29.38,29.381443298969074,29.381443298969074,29.38
15,%,%,True,True,Virginia,Virginia,227,748,23140,23140,30.3475935828877,30.35,30.3475935828877,30.3475935828877,30.35
16,%,%,True,True,Pennsylvania,Pennsylvania,380,1247,19021,19021,30.473135525260624,30.47,30.473135525260624,30.473135525260624,30.47
17,%,%,True,True,Florida,Florida,563,1847,55453,55453,30.481862479696805,30.48,30.481862479696805,30.481862479696805,30.48
18,%,%,True,True,Iowa,Iowa,210,686,9836,9836,30.612244897959183,30.61,30.612244897959183,30.612244897959183,30.61
19,%,%,True,True,Massachusetts,Massachusetts,170,555,12835,12835,30.630630630630627,30.63,30.630630630630627,30.630630630630627,30.63
20,%,%,True,True,Texas,Texas,975,3174,96976,96976,30.718336483931946,30.72,30.718336483931946,30.718336483931946,30.72
21,%,%,True,True,Ohio,Ohio,512,1665,22944,22944,30.75075075075075,30.75,30.75075075075075,30.75075075075075,30.75
22,%,%,True,True,California,California,1573,5087,160861,160861,30.921957931983485,30.92,30.921957931983485,30.921957931983485,30.92
23,%,%,True,True,North Carolina,North Carolina,475,1506,115825,115825,31.540504648074368,31.54,31.540504648074368,31.540504648074368,31.54
24,%,%,True,True,Idaho,Idaho,217,687,20059,20059,31.58660844250364,31.59,31.58660844250364,31.58660844250364,31.59
25,%,%,True,True,Nevada,Nevada,181,561,26502,26502,32.263814616755795,32.26,32.263814616755795,32.263814616755795,32.26
26,%,%,True,True,Nebraska,Nebraska,143,443,16418,16418,32.27990970654628,32.28,32.27990970654628,32.27990970654628,32.28
27,%,%,True,True,Kansas,Kansas,294,867,23301,23301,33.910034602076124,33.91,33.910034602076124,33.910034602076124,33.91
28,%,%,True,True,Tennessee,Tennessee,279,813,19841,19841,34.31734317343174,34.32,34.31734317343174,34.31734317343174,34.32
29,%,%,True,True,Michigan,Michigan,668,1942,57651,57651,34.39752832131823,34.40,34.39752832131823,34.39752832131823,34.40
30,%,%,True,True,Kentucky,Kentucky,255,735,9313,9313,34.69387755102041,34.69,34.69387755102041,34.69387755102041,34.69
31,%,%,True,True,Wisconsin,Wisconsin,485,1396,52520,52520,34.742120343839545,34.74,34.742120343839545,34.742120343839545,34.74
32,%,%,True,True,West Virginia,West Virginia,104,299,3860,3860,34.78260869565217,34.78,34.78260869565217,34.78260869565217,34.78
33,%,%,True,True,Alaska,Alaska,532,1522,109039,109039,34.95400788436268,34.95,34.95400788436268,34.95400788436268,34.95
34,%,%,True,True,New Hampshire,New Hampshire,78,223,2960,2960,34.97757847533632,34.98,34.97757847533632,34.97757847533632,34.98
35,%,%,True,True,Colorado,Colorado,523,1485,37197,37197,35.21885521885522,35.22,35.21885521885522,35.21885521885522,35.22
36,%,%,True,True,Arkansas,Arkansas,306,855,23903,23903,35.78947368421053,35.79,35.78947368421053,35.78947368421053,35.79
37,%,%,True,True,Missouri,Missouri,445,1239,27135,27135,35.91606133979015,35.92,35.91606133979015,35.91606133979015,35.92
38,%,%,True,True,Louisiana,Louisiana,203,564,30358,30358,35.99290780141844,35.99,35.99290780141844,35.99290780141844,35.99
39,%,%,True,True,South Carolina,South Carolina,201,549,19363,19363,36.6120218579235,36.61,36.6120218579235,36.6120218579235,36.61
40,%,%,True,True,Wyoming,Wyoming,83,226,12146,12146,36.72566371681416,36.73,36.72566371681416,36.72566371681416,36.73
41,%,%,True,True,Maine,Maine,164,438,8892,8892,37.44292237442922,37.44,37.44292237442922,37.44292237442922,37.44
42,%,%,True,True,North Dakota,North Dakota,248,632,40207,40207,39.24050632911392,39.24,39.24050632911392,39.24050632911392,39.24
43,%,%,True,True,Oklahoma,Oklahoma,2010,4977,339826,339826,40.38577456298975,40.39,40.38577456298975,40.38577456298975,40.39
44,%,%,True,True,Rhode Island,Rhode Island,55,136,4633,4633,40.44117647058824,40.44,40.44117647058824,40.44117647058824,40.44
45,%,%,True,True,Oregon,Oregon,537,1325,46873,46873,40.52830188679245,40.53,40.52830188679245,40.52830188679245,40.53
46,%,%,True,True,Washington,Washington,903,2192,95740,95740,41.19525547445255,41.20,41.19525547445255,41.19525547445255,41.20
47,%,%,True,True,Minnesota,Minnesota,686,1631,60687,60687,42.06008583690987,42.06,42.06008583690987,42.06008583690987,42.06
48,%,%,True,True,Montana,Montana,365,866,66192,66192,42.147806004618936,42.15,42.147806004618936,42.147806004618936,42.15
49,%,%,True,True,Vermont,Vermont,57,135,2082,2082,42.22222222222222,42.22,42.22222222222222,42.22222222222222,42.22
50,%,%,True,True,South Dakota,South Dakota,422,990,73258,73258,42.62626262626263,42.63,42.62626262626263,42.62626262626263,42.63
