,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Indiana,Indiana,615,5718,183573,183573,10.755508919202518,10.76,10.755508919202518,10.755508919202518,10.76
1,%,%,True,True,New Jersey,New Jersey,1019,8981,942292,942292,11.346175258879859,11.35,11.346175258879859,11.346175258879859,11.35
2,%,%,True,True,Delaware,Delaware,113,974,41957,41957,11.601642710472278,11.60,11.601642710472278,11.601642710472278,11.60
3,%,%,True,True,Massachusetts,Massachusetts,667,5567,520119,520119,11.981318483923118,11.98,11.981318483923118,11.981318483923118,11.98
4,%,%,True,True,Texas,Texas,2156,17110,1584396,1584396,12.600818234950323,12.60,12.600818234950323,12.600818234950323,12.60
5,%,%,True,True,New York,New York,2447,18975,1812286,1812286,12.895915678524375,12.90,12.895915678524375,12.895915678524375,12.90
6,%,%,True,True,Georgia,Georgia,764,5870,490433,490433,13.015332197614992,13.02,13.015332197614992,13.015332197614992,13.02
7,%,%,True,True,Maryland,Maryland,624,4786,421227,421227,13.038027580442959,13.04,13.038027580442959,13.038027580442959,13.04
8,%,%,True,True,California,California,8259,62258,6136428,6136428,13.265765042243565,13.27,13.265765042243565,13.265765042243565,13.27
9,%,%,True,True,Illinois,Illinois,1110,8326,756590,756590,13.331731924093202,13.33,13.331731924093202,13.331731924093202,13.33
10,%,%,True,True,Mississippi,Mississippi,80,599,33735,33735,13.35559265442404,13.36,13.35559265442404,13.35559265442404,13.36
11,%,%,True,True,Virginia,Virginia,950,7048,614516,614516,13.479001135073778,13.48,13.479001135073778,13.479001135073778,13.48
12,%,%,True,True,Maine,Maine,89,654,18886,18886,13.608562691131498,13.61,13.608562691131498,13.608562691131498,13.61
13,%,%,True,True,North Dakota,North Dakota,35,256,13076,13076,13.671875,13.67,13.671875,13.671875,13.67
14,%,%,True,True,Ohio,Ohio,502,3661,313413,313413,13.712100518983883,13.71,13.712100518983883,13.712100518983883,13.71
15,%,%,True,True,Pennsylvania,Pennsylvania,774,5613,503783,503783,13.789417423837518,13.79,13.789417423837518,13.789417423837518,13.79
16,%,%,True,True,North Carolina,North Carolina,510,3664,353832,353832,13.919213973799128,13.92,13.919213973799128,13.919213973799128,13.92
17,%,%,True,True,Vermont,Vermont,48,342,12952,12952,14.035087719298245,14.04,14.035087719298245,14.035087719298245,14.04
18,%,%,True,True,Alaska,Alaska,338,2342,58213,58213,14.43210930828352,14.43,14.43210930828352,14.43210930828352,14.43
19,%,%,True,True,New Hampshire,New Hampshire,82,567,42740,42740,14.462081128747794,14.46,14.462081128747794,14.462081128747794,14.46
20,%,%,True,True,Michigan,Michigan,631,4356,341843,341843,14.485766758494032,14.49,14.485766758494032,14.485766758494032,14.49
21,%,%,True,True,Connecticut,Connecticut,367,2510,179054,179054,14.621513944223107,14.62,14.621513944223107,14.621513944223107,14.62
22,%,%,True,True,Florida,Florida,1248,8375,650132,650132,14.901492537313432,14.90,14.901492537313432,14.901492537313432,14.90
23,%,%,True,True,Alabama,Alabama,466,3117,78576,78576,14.950272698107153,14.95,14.950272698107153,14.950272698107153,14.95
24,%,%,True,True,Wisconsin,Wisconsin,378,2527,185474,185474,14.958448753462603,14.96,14.958448753462603,14.958448753462603,14.96
25,%,%,True,True,South Carolina,South Carolina,189,1263,100149,100149,14.964370546318289,14.96,14.964370546318289,14.964370546318289,14.96
26,%,%,True,True,Tennessee,Tennessee,257,1707,139839,139839,15.055653192735793,15.06,15.055653192735793,15.055653192735793,15.06
27,%,%,True,True,Louisiana,Louisiana,162,1072,85860,85860,15.111940298507461,15.11,15.111940298507461,15.111940298507461,15.11
28,%,%,True,True,South Dakota,South Dakota,48,317,15358,15358,15.141955835962145,15.14,15.141955835962145,15.141955835962145,15.14
29,%,%,True,True,West Virginia,West Virginia,82,540,15762,15762,15.185185185185185,15.19,15.185185185185185,15.185185185185185,15.19
30,%,%,True,True,Kentucky,Kentucky,201,1297,78406,78406,15.497301464919044,15.50,15.497301464919044,15.497301464919044,15.50
31,%,%,True,True,Kansas,Kansas,217,1380,94576,94576,15.72463768115942,15.72,15.72463768115942,15.72463768115942,15.72
32,%,%,True,True,Missouri,Missouri,285,1808,144420,144420,15.763274336283187,15.76,15.763274336283187,15.763274336283187,15.76
33,%,%,True,True,Nevada,Nevada,515,3261,292101,292101,15.792701625268323,15.79,15.792701625268323,15.792701625268323,15.79
34,%,%,True,True,Rhode Island,Rhode Island,74,468,39360,39360,15.81196581196581,15.81,15.81196581196581,15.81196581196581,15.81
35,%,%,True,True,Arkansas,Arkansas,227,1423,64245,64245,15.95221363316936,15.95,15.95221363316936,15.95221363316936,15.95
36,%,%,True,True,District of Columbia,District of Columbia,104,638,29628,29628,16.30094043887147,16.30,16.30094043887147,16.30094043887147,16.30
37,%,%,True,True,Washington,Washington,1503,8991,813284,813284,16.716716716716718,16.72,16.716716716716718,16.716716716716718,16.72
38,%,%,True,True,Minnesota,Minnesota,658,3925,305845,305845,16.764331210191084,16.76,16.764331210191084,16.764331210191084,16.76
39,%,%,True,True,New Mexico,New Mexico,107,638,35760,35760,16.77115987460815,16.77,16.77115987460815,16.77115987460815,16.77
40,%,%,True,True,Wyoming,Wyoming,55,326,6184,6184,16.87116564417178,16.87,16.87116564417178,16.87116564417178,16.87
41,%,%,True,True,Arizona,Arizona,805,4738,270631,270631,16.990291262135923,16.99,16.990291262135923,16.990291262135923,16.99
