,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,New Hampshire,New Hampshire,53,267,21519,21519,19.850187265917604,19.85,19.850187265917604,19.850187265917604,19.85
1,%,%,True,True,Hawaii,Hawaii,110,548,27691,27691,20.072992700729927,20.07,20.072992700729927,20.072992700729927,20.07
2,%,%,True,True,Florida,Florida,4778,22787,3386309,3386309,20.96809584412165,20.97,20.96809584412165,20.96809584412165,20.97
3,%,%,True,True,South Carolina,South Carolina,1741,8283,1352562,1352562,21.018954485089942,21.02,21.018954485089942,21.018954485089942,21.02
4,%,%,True,True,Alabama,Alabama,1749,8299,1336172,1336172,21.07482829256537,21.07,21.07482829256537,21.07482829256537,21.07
5,%,%,True,True,Georgia,Georgia,5575,25924,3451256,3451256,21.505168955408116,21.51,21.505168955408116,21.505168955408116,21.51
6,%,%,True,True,Arkansas,Arkansas,685,3177,466227,466227,21.561221277935157,21.56,21.561221277935157,21.561221277935157,21.56
7,%,%,True,True,New Jersey,New Jersey,2057,9451,1205848,1205848,21.764892603957254,21.76,21.764892603957254,21.764892603957254,21.76
8,%,%,True,True,South Dakota,South Dakota,60,275,20987,20987,21.818181818181817,21.82,21.818181818181817,21.818181818181817,21.82
9,%,%,True,True,Maryland,Maryland,3364,15313,1862521,1862521,21.968262260824137,21.97,21.968262260824137,21.968262260824137,21.97
10,%,%,True,True,Mississippi,Mississippi,1488,6761,1107951,1107951,22.00857861263127,22.01,22.00857861263127,22.00857861263127,22.01
11,%,%,True,True,Louisiana,Louisiana,1648,7481,1499002,1499002,22.029140489239406,22.03,22.029140489239406,22.029140489239406,22.03
12,%,%,True,True,Connecticut,Connecticut,809,3641,382977,382977,22.219170557539137,22.22,22.219170557539137,22.219170557539137,22.22
