,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Florida,Florida,8888,42332,5830908,5830908,20.99593687990173,21.00,20.99593687990173,20.99593687990173,21.00
1,%,%,True,True,Georgia,Georgia,2016,9583,1104836,1104836,21.0372534696859,21.04,21.0372534696859,21.0372534696859,21.04
2,%,%,True,True,California,California,26152,123981,15754605,15754605,21.093554657568497,21.09,21.093554657568497,21.093554657568497,21.09
3,%,%,True,True,Maryland,Maryland,1202,5693,684437,684437,21.11364834006675,21.11,21.11364834006675,21.11364834006675,21.11
4,%,%,True,True,New Jersey,New Jersey,3249,15241,1991638,1991638,21.31749885178138,21.32,21.31749885178138,21.31749885178138,21.32
5,%,%,True,True,Illinois,Illinois,4446,20547,2282133,2282133,21.638195356986422,21.64,21.638195356986422,21.638195356986422,21.64
6,%,%,True,True,Delaware,Delaware,243,1113,101213,101213,21.83288409703504,21.83,21.83288409703504,21.83288409703504,21.83
7,%,%,True,True,Virginia,Virginia,1835,8346,882402,882402,21.98658039779535,21.99,21.98658039779535,21.98658039779535,21.99
8,%,%,True,True,Hawaii,Hawaii,210,952,160134,160134,22.058823529411764,22.06,22.058823529411764,22.058823529411764,22.06
9,%,%,True,True,New York,New York,6278,28069,3868268,3868268,22.3663115892978,22.37,22.3663115892978,22.3663115892978,22.37
10,%,%,True,True,Texas,Texas,20158,89883,11857401,11857401,22.426932790405303,22.43,22.426932790405303,22.426932790405303,22.43
11,%,%,True,True,Rhode Island,Rhode Island,274,1216,187776,187776,22.532894736842106,22.53,22.532894736842106,22.532894736842106,22.53
12,%,%,True,True,Alabama,Alabama,636,2820,241168,241168,22.5531914893617,22.55,22.5531914893617,22.5531914893617,22.55
13,%,%,True,True,North Carolina,North Carolina,2000,8786,1078224,1078224,22.763487366264513,22.76,22.763487366264513,22.763487366264513,22.76
14,%,%,True,True,Alaska,Alaska,237,1003,54732,54732,23.629112662013956,23.63,23.629112662013956,23.629112662013956,23.63
15,%,%,True,True,South Carolina,South Carolina,649,2738,330096,330096,23.703433162892622,23.70,23.703433162892622,23.703433162892622,23.70
16,%,%,True,True,Nevada,Nevada,1678,7079,940757,940757,23.703912982059613,23.70,23.703912982059613,23.703912982059613,23.70
17,%,%,True,True,Arkansas,Arkansas,631,2636,251277,251277,23.937784522003035,23.94,23.937784522003035,23.937784522003035,23.94
18,%,%,True,True,Utah,Utah,1209,4978,493636,493636,24.28686219365207,24.29,24.28686219365207,24.28686219365207,24.29
19,%,%,True,True,Indiana,Indiana,1329,5386,522944,522944,24.675083549944297,24.68,24.675083549944297,24.675083549944297,24.68
20,%,%,True,True,District of Columbia,District of Columbia,194,783,76919,76919,24.776500638569605,24.78,24.776500638569605,24.776500638569605,24.78
21,%,%,True,True,Arizona,Arizona,4773,19199,2351122,2351122,24.860669826553465,24.86,24.860669826553465,24.860669826553465,24.86
22,%,%,True,True,Wisconsin,Wisconsin,1081,4267,442517,442517,25.333958284509023,25.33,25.333958284509023,25.333958284509023,25.33
23,%,%,True,True,Connecticut,Connecticut,1355,5346,637112,637112,25.346053123830902,25.35,25.346053123830902,25.346053123830902,25.35
24,%,%,True,True,Mississippi,Mississippi,211,826,102936,102936,25.544794188861985,25.54,25.544794188861985,25.544794188861985,25.54
25,%,%,True,True,Idaho,Idaho,541,2079,251919,251919,26.022126022126024,26.02,26.022126022126024,26.022126022126024,26.02
26,%,%,True,True,Kentucky,Kentucky,500,1891,187984,187984,26.441036488630353,26.44,26.441036488630353,26.441036488630353,26.44
27,%,%,True,True,Kansas,Kansas,897,3357,374093,374093,26.720285969615727,26.72,26.720285969615727,26.720285969615727,26.72
28,%,%,True,True,Nebraska,Nebraska,563,2103,235669,235669,26.77127912505944,26.77,26.77127912505944,26.77127912505944,26.77
29,%,%,True,True,Massachusetts,Massachusetts,2030,7562,897349,897349,26.844750066120078,26.84,26.844750066120078,26.844750066120078,26.84
30,%,%,True,True,Louisiana,Louisiana,497,1846,258338,258338,26.923076923076923,26.92,26.923076923076923,26.923076923076923,26.92
31,%,%,True,True,Iowa,Iowa,600,2221,215119,215119,27.0148581719946,27.01,27.0148581719946,27.0148581719946,27.01
32,%,%,True,True,Washington,Washington,2336,8587,1059156,1059156,27.203912891580295,27.20,27.203912891580295,27.203912891580295,27.20
33,%,%,True,True,Minnesota,Minnesota,947,3429,333474,333474,27.617381160688247,27.62,27.617381160688247,27.617381160688247,27.62
34,%,%,True,True,Pennsylvania,Pennsylvania,2341,8427,1084634,1084634,27.779755547644474,27.78,27.779755547644474,27.779755547644474,27.78
35,%,%,True,True,Tennessee,Tennessee,962,3452,425839,425839,27.86790266512167,27.87,27.86790266512167,27.86790266512167,27.87
36,%,%,True,True,Missouri,Missouri,809,2882,287125,287125,28.070784177654406,28.07,28.070784177654406,28.070784177654406,28.07
37,%,%,True,True,Oklahoma,Oklahoma,973,3458,467249,467249,28.13765182186235,28.14,28.13765182186235,28.13765182186235,28.14
38,%,%,True,True,Colorado,Colorado,3344,11740,1293214,1293214,28.483816013628623,28.48,28.483816013628623,28.483816013628623,28.48
39,%,%,True,True,New Mexico,New Mexico,2039,7040,1059242,1059242,28.96306818181818,28.96,28.96306818181818,28.96306818181818,28.96
40,%,%,True,True,Ohio,Ohio,1433,4876,508643,508643,29.38884331419196,29.39,29.38884331419196,29.38884331419196,29.39
41,%,%,True,True,Oregon,Oregon,1516,5156,596517,596517,29.40263770364624,29.40,29.40263770364624,29.40263770364624,29.40
42,%,%,True,True,Michigan,Michigan,1575,5334,561587,561587,29.527559055118108,29.53,29.527559055118108,29.527559055118108,29.53
43,%,%,True,True,West Virginia,West Virginia,117,392,33684,33684,29.846938775510207,29.85,29.846938775510207,29.846938775510207,29.85
44,%,%,True,True,Wyoming,Wyoming,182,588,61087,61087,30.952380952380953,30.95,30.952380952380953,30.952380952380953,30.95
45,%,%,True,True,Vermont,Vermont,72,231,14384,14384,31.16883116883117,31.17,31.16883116883117,31.16883116883117,31.17
46,%,%,True,True,North Dakota,North Dakota,103,328,34335,34335,31.402439024390244,31.40,31.402439024390244,31.402439024390244,31.40
47,%,%,True,True,New Hampshire,New Hampshire,198,627,60873,60873,31.57894736842105,31.58,31.57894736842105,31.57894736842105,31.58
48,%,%,True,True,South Dakota,South Dakota,133,386,41288,41288,34.4559585492228,34.46,34.4559585492228,34.4559585492228,34.46
49,%,%,True,True,Montana,Montana,167,448,48014,48014,37.276785714285715,37.28,37.276785714285715,37.276785714285715,37.28
50,%,%,True,True,Maine,Maine,150,400,27037,27037,37.5,37.50,37.5,37.5,37.50
