,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Hawaii,Hawaii,531,1999,291001,291001,26.563281640820406,26.56,26.563281640820406,26.563281640820406,26.56
1,%,%,True,True,New Jersey,New Jersey,1393,5049,152237,152237,27.58962170726877,27.59,27.58962170726877,27.58962170726877,27.59
2,%,%,True,True,Maryland,Maryland,1174,4110,161497,161497,28.56447688564477,28.56,28.56447688564477,28.56447688564477,28.56
3,%,%,True,True,California,California,9389,32565,1170491,1170491,28.831567633962845,28.83,28.831567633962845,28.831567633962845,28.83
4,%,%,True,True,Rhode Island,Rhode Island,171,588,24311,24311,29.081632653061224,29.08,29.081632653061224,29.081632653061224,29.08
5,%,%,True,True,Connecticut,Connecticut,721,2468,68017,68017,29.213938411669364,29.21,29.213938411669364,29.213938411669364,29.21
6,%,%,True,True,Delaware,Delaware,237,806,25193,25193,29.404466501240694,29.40,29.404466501240694,29.404466501240694,29.40
7,%,%,True,True,Virginia,Virginia,1919,6514,250775,250775,29.45962542216764,29.46,29.45962542216764,29.45962542216764,29.46
8,%,%,True,True,New York,New York,3187,10494,378698,378698,30.369735086716222,30.37,30.369735086716222,30.369735086716222,30.37
9,%,%,True,True,Georgia,Georgia,2005,6553,217873,217873,30.59667327941401,30.60,30.59667327941401,30.59667327941401,30.60
10,%,%,True,True,Texas,Texas,5393,17609,473467,473467,30.626384235334204,30.63,30.626384235334204,30.626384235334204,30.63
11,%,%,True,True,Florida,Florida,3761,12111,390375,390375,31.054413343241684,31.05,31.054413343241684,31.054413343241684,31.05
12,%,%,True,True,Massachusetts,Massachusetts,1206,3785,137083,137083,31.862615587846765,31.86,31.862615587846765,31.862615587846765,31.86
13,%,%,True,True,Illinois,Illinois,2124,6662,224432,224432,31.882317622335638,31.88,31.882317622335638,31.882317622335638,31.88
14,%,%,True,True,North Carolina,North Carolina,1876,5814,225732,225732,32.26694186446508,32.27,32.26694186446508,32.26694186446508,32.27
15,%,%,True,True,District of Columbia,District of Columbia,156,477,16480,16480,32.70440251572327,32.70,32.70440251572327,32.70440251572327,32.70
16,%,%,True,True,Nevada,Nevada,1049,3134,118795,118795,33.47160178685386,33.47,33.47160178685386,33.47160178685386,33.47
17,%,%,True,True,Alabama,Alabama,802,2393,86070,86070,33.51441704972837,33.51,33.51441704972837,33.51441704972837,33.51
18,%,%,True,True,Pennsylvania,Pennsylvania,2048,6082,238808,238808,33.673133837553436,33.67,33.673133837553436,33.673133837553436,33.67
19,%,%,True,True,Utah,Utah,702,2084,76033,76033,33.685220729366605,33.69,33.685220729366605,33.685220729366605,33.69
20,%,%,True,True,Arizona,Arizona,1872,5540,163394,163394,33.79061371841155,33.79,33.79061371841155,33.79061371841155,33.79
21,%,%,True,True,Alaska,Alaska,311,920,52262,52262,33.80434782608695,33.80,33.80434782608695,33.80434782608695,33.80
22,%,%,True,True,South Carolina,South Carolina,922,2674,98263,98263,34.480179506357516,34.48,34.480179506357516,34.480179506357516,34.48
23,%,%,True,True,Nebraska,Nebraska,402,1164,40407,40407,34.5360824742268,34.54,34.5360824742268,34.5360824742268,34.54
24,%,%,True,True,Minnesota,Minnesota,1145,3281,139747,139747,34.897896982627245,34.90,34.897896982627245,34.897896982627245,34.90
25,%,%,True,True,Mississippi,Mississippi,340,972,37834,37834,34.97942386831276,34.98,34.97942386831276,34.97942386831276,34.98
26,%,%,True,True,Michigan,Michigan,1851,5267,243379,243379,35.14334535788874,35.14,35.14334535788874,35.14334535788874,35.14
27,%,%,True,True,Colorado,Colorado,1821,5155,144152,144152,35.32492725509214,35.32,35.32492725509214,35.32492725509214,35.32
28,%,%,True,True,Washington,Washington,2491,7015,342530,342530,35.5096222380613,35.51,35.5096222380613,35.5096222380613,35.51
29,%,%,True,True,Indiana,Indiana,1458,4065,139946,139946,35.86715867158672,35.87,35.86715867158672,35.86715867158672,35.87
30,%,%,True,True,Ohio,Ohio,2288,6338,274463,274463,36.09971599873777,36.10,36.09971599873777,36.09971599873777,36.10
31,%,%,True,True,Louisiana,Louisiana,631,1738,74216,74216,36.30609896432681,36.31,36.30609896432681,36.30609896432681,36.31
32,%,%,True,True,North Dakota,North Dakota,135,365,16837,16837,36.986301369863014,36.99,36.986301369863014,36.986301369863014,36.99
33,%,%,True,True,New Mexico,New Mexico,475,1280,33832,33832,37.109375,37.11,37.109375,37.109375,37.11
34,%,%,True,True,Wisconsin,Wisconsin,1126,3007,109888,109888,37.44595942800133,37.45,37.44595942800133,37.44595942800133,37.45
35,%,%,True,True,West Virginia,West Virginia,278,740,33519,33519,37.567567567567565,37.57,37.567567567567565,37.567567567567565,37.57
36,%,%,True,True,Idaho,Idaho,422,1120,41056,41056,37.67857142857143,37.68,37.67857142857143,37.67857142857143,37.68
37,%,%,True,True,Missouri,Missouri,1181,3101,143689,143689,38.08448887455659,38.08,38.08448887455659,38.08448887455659,38.08
38,%,%,True,True,Iowa,Iowa,621,1630,59427,59427,38.09815950920245,38.10,38.09815950920245,38.09815950920245,38.10
39,%,%,True,True,Wyoming,Wyoming,126,329,11050,11050,38.297872340425535,38.30,38.297872340425535,38.297872340425535,38.30
40,%,%,True,True,Kentucky,Kentucky,858,2218,90573,90573,38.68349864743011,38.68,38.68349864743011,38.68349864743011,38.68
