,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,New Jersey,New Jersey,9156,36050,4960795,4960795,25.398058252427187,25.40,25.398058252427187,25.398058252427187,25.40
1,%,%,True,True,Hawaii,Hawaii,1013,3935,308195,308195,25.7433290978399,25.74,25.7433290978399,25.7433290978399,25.74
2,%,%,True,True,Connecticut,Connecticut,5843,21151,2330326,2330326,27.625171386695662,27.63,27.625171386695662,27.625171386695662,27.63
3,%,%,True,True,Utah,Utah,9387,33447,2577888,2577888,28.065297336083955,28.07,28.065297336083955,28.065297336083955,28.07
4,%,%,True,True,District of Columbia,District of Columbia,847,2991,249751,249751,28.318288197927117,28.32,28.318288197927117,28.318288197927117,28.32
5,%,%,True,True,Alaska,Alaska,2133,7475,434746,434746,28.535117056856187,28.54,28.535117056856187,28.535117056856187,28.54
6,%,%,True,True,New York,New York,23976,83326,10858889,10858889,28.77373208842378,28.77,28.77373208842378,28.77373208842378,28.77
7,%,%,True,True,Massachusetts,Massachusetts,11886,41092,4894728,4894728,28.925338265355787,28.93,28.925338265355787,28.925338265355787,28.93
8,%,%,True,True,Maryland,Maryland,7482,25684,3020582,3020582,29.1309764834138,29.13,29.1309764834138,29.1309764834138,29.13
9,%,%,True,True,Illinois,Illinois,19460,66004,7597266,7597266,29.483061632628328,29.48,29.483061632628328,29.483061632628328,29.48
10,%,%,True,True,Rhode Island,Rhode Island,1766,5966,771405,771405,29.60107274555816,29.60,29.60107274555816,29.60107274555816,29.60
11,%,%,True,True,North Dakota,North Dakota,1722,5803,644623,644623,29.674306393244876,29.67,29.674306393244876,29.674306393244876,29.67
12,%,%,True,True,Wisconsin,Wisconsin,13229,44529,4727246,4727246,29.70872914280581,29.71,29.70872914280581,29.70872914280581,29.71
13,%,%,True,True,Minnesota,Minnesota,12721,42752,4458035,4458035,29.755333083832337,29.76,29.755333083832337,29.755333083832337,29.76
14,%,%,True,True,California,California,35278,116060,13815325,13815325,30.396346717215234,30.40,30.396346717215234,30.396346717215234,30.40
15,%,%,True,True,Delaware,Delaware,1940,6372,608053,608053,30.445699937225363,30.45,30.445699937225363,30.445699937225363,30.45
16,%,%,True,True,Virginia,Virginia,15129,49611,5213717,5213717,30.495253068875854,30.50,30.495253068875854,30.495253068875854,30.50
17,%,%,True,True,South Dakota,South Dakota,1970,6450,723678,723678,30.54263565891473,30.54,30.54263565891473,30.54263565891473,30.54
18,%,%,True,True,Pennsylvania,Pennsylvania,25494,83129,9701126,9701126,30.66799793092663,30.67,30.66799793092663,30.66799793092663,30.67
19,%,%,True,True,Nebraska,Nebraska,4482,14578,1519341,1519341,30.74495815612567,30.74,30.74495815612567,30.74495815612567,30.74
20,%,%,True,True,Alabama,Alabama,10663,34092,3269726,3269726,31.277132465094446,31.28,31.277132465094446,31.277132465094446,31.28
21,%,%,True,True,Georgia,Georgia,16255,51904,5510193,5510193,31.31743218249075,31.32,31.31743218249075,31.31743218249075,31.32
22,%,%,True,True,Michigan,Michigan,21428,68418,7462582,7462582,31.319243473939608,31.32,31.319243473939608,31.319243473939608,31.32
23,%,%,True,True,Iowa,Iowa,8385,26608,2685614,2685614,31.513078773301263,31.51,31.513078773301263,31.513078773301263,31.51
24,%,%,True,True,Idaho,Idaho,4854,15279,1541463,1541463,31.769094836049476,31.77,31.769094836049476,31.769094836049476,31.77
25,%,%,True,True,Florida,Florida,27833,86309,11467951,11467951,32.24808536769051,32.25,32.24808536769051,32.24808536769051,32.25
26,%,%,True,True,Vermont,Vermont,1851,5737,595151,595151,32.26424960780896,32.26,32.26424960780896,32.26424960780896,32.26
27,%,%,True,True,North Carolina,North Carolina,18104,55984,6528578,6528578,32.3378108030866,32.34,32.3378108030866,32.3378108030866,32.34
28,%,%,True,True,Ohio,Ohio,28520,88071,9149813,9149813,32.382963745160154,32.38,32.382963745160154,32.382963745160154,32.38
29,%,%,True,True,Arizona,Arizona,11967,36853,3872615,3872615,32.47225463327273,32.47,32.47225463327273,32.47225463327273,32.47
30,%,%,True,True,New Hampshire,New Hampshire,3706,11240,1238184,1238184,32.97153024911032,32.97,32.97153024911032,32.97153024911032,32.97
31,%,%,True,True,Wyoming,Wyoming,1585,4782,482320,482320,33.14512756168967,33.15,33.14512756168967,33.14512756168967,33.15
32,%,%,True,True,Texas,Texas,35483,106777,11885058,11885058,33.23093924721616,33.23,33.23093924721616,33.23093924721616,33.23
33,%,%,True,True,South Carolina,South Carolina,9767,29247,3290272,3290272,33.39487810715629,33.39,33.39487810715629,33.39487810715629,33.39
34,%,%,True,True,Kansas,Kansas,7164,21414,2192217,2192217,33.45474922947604,33.45,33.45474922947604,33.45474922947604,33.45
35,%,%,True,True,Colorado,Colorado,14606,42793,3893018,3893018,34.13175051994485,34.13,34.13175051994485,34.13175051994485,34.13
36,%,%,True,True,Louisiana,Louisiana,6572,19221,2676273,2676273,34.19176941886478,34.19,34.19176941886478,34.19176941886478,34.19
37,%,%,True,True,Indiana,Indiana,19254,56231,5276416,5276416,34.240899148156714,34.24,34.240899148156714,34.240899148156714,34.24
38,%,%,True,True,Missouri,Missouri,15632,44947,4854359,4854359,34.77873940418716,34.78,34.77873940418716,34.77873940418716,34.78
39,%,%,True,True,Mississippi,Mississippi,5480,15710,1652517,1652517,34.88224061107575,34.88,34.88224061107575,34.88224061107575,34.88
40,%,%,True,True,West Virginia,West Virginia,5336,15283,1632071,1632071,34.9146110056926,34.91,34.9146110056926,34.9146110056926,34.91
41,%,%,True,True,Kentucky,Kentucky,12851,36769,3765843,3765843,34.95063776550899,34.95,34.95063776550899,34.95063776550899,34.95
