,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Hawaii,Hawaii,3470,16005,1441553,1441553,21.680724773508278,21.68,21.680724773508278,21.680724773508278,21.68
1,%,%,True,True,New Jersey,New Jersey,17937,79551,9267130,9267130,22.547799524833128,22.55,22.547799524833128,22.547799524833128,22.55
2,%,%,True,True,California,California,91598,384812,39237836,39237836,23.80331174703492,23.80,23.80331174703492,23.80331174703492,23.80
3,%,%,True,True,Maryland,Maryland,14581,58525,6165129,6165129,24.914139256727893,24.91,24.914139256727893,24.914139256727893,24.91
4,%,%,True,True,New York,New York,43879,175701,19835913,19835913,24.973676871503294,24.97,24.973676871503294,24.973676871503294,24.97
5,%,%,True,True,Connecticut,Connecticut,9642,37391,3605597,3605597,25.786954079858788,25.79,25.786954079858788,25.786954079858788,25.79
6,%,%,True,True,Alaska,Alaska,4003,15403,732673,732673,25.98844380964747,25.99,25.98844380964747,25.98844380964747,25.99
7,%,%,True,True,District of Columbia,District of Columbia,2037,7741,670050,670050,26.314429660250617,26.31,26.314429660250617,26.314429660250617,26.31
8,%,%,True,True,Illinois,Illinois,31940,121155,12671469,12671469,26.362923527712432,26.36,26.362923527712432,26.362923527712432,26.36
9,%,%,True,True,Delaware,Delaware,3278,12417,1003384,1003384,26.399291294193443,26.40,26.399291294193443,26.399291294193443,26.40
10,%,%,True,True,Georgia,Georgia,27927,105224,10799566,10799566,26.540523074583746,26.54,26.540523074583746,26.540523074583746,26.54
11,%,%,True,True,Texas,Texas,73543,274074,29527941,29527941,26.83326400899027,26.83,26.83326400899027,26.83326400899027,26.83
12,%,%,True,True,Virginia,Virginia,24132,89698,8642274,8642274,26.903609890967466,26.90,26.903609890967466,26.903609890967466,26.90
13,%,%,True,True,Massachusetts,Massachusetts,17829,66163,6984723,6984723,26.94708522890437,26.95,26.94708522890437,26.94708522890437,26.95
14,%,%,True,True,Florida,Florida,49146,181923,21781128,21781128,27.01472601045497,27.01,27.01472601045497,27.01472601045497,27.01
