,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Age Chart-value,Age Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Alaska,Alaska,4003,732673,15403,546.3556047513694,546.4,546.4
1,%null%,%null%,True,True,Oregon,Oregon,17627,4246155,47894,415.1285103817454,415.1,415.1
2,%null%,%null%,True,True,Maine,Maine,5436,1372247,15945,396.1385960399258,396.1,396.1
3,%null%,%null%,True,True,Colorado,Colorado,23011,5812069,72069,395.91752954068505,395.9,395.9
4,%null%,%null%,True,True,Oklahoma,Oklahoma,15518,3986639,41809,389.2501929570247,389.3,389.3
5,%null%,%null%,True,True,Wyoming,Wyoming,2170,578803,6790,374.9116711558164,374.9,374.9
6,%null%,%null%,True,True,Indiana,Indiana,25385,6805985,83605,372.98054579902833,373.0,373.0
7,%null%,%null%,True,True,Utah,Utah,12445,3337975,45342,372.830833064957,372.8,372.8
8,%null%,%null%,True,True,Arkansas,Arkansas,11100,3025891,33733,366.8340994437672,366.8,366.8
9,%null%,%null%,True,True,Montana,Montana,4049,1104271,11250,366.6672401973791,366.7,366.7
10,%null%,%null%,True,True,Vermont,Vermont,2283,645570,7222,353.6409684464891,353.6,353.6
11,%null%,%null%,True,True,Washington,Washington,27314,7738692,84513,352.95370328732554,353.0,353.0
12,%null%,%null%,True,True,Kentucky,Kentucky,15888,4509394,47412,352.3311558049707,352.3,352.3
13,%null%,%null%,True,True,West Virginia,West Virginia,6269,1782959,18590,351.6065147880574,351.6,351.6
14,%null%,%null%,True,True,Kansas,Kansas,10142,2934582,31945,345.60288313633765,345.6,345.6
15,%null%,%null%,True,True,Idaho,Idaho,6562,1900923,21291,345.20072617354833,345.2,345.2
16,%null%,%null%,True,True,Iowa,Iowa,10768,3193079,35051,337.2293638835744,337.2,337.2
17,%null%,%null%,True,True,Missouri,Missouri,20523,6168187,61500,332.7233756045334,332.7,332.7
18,%null%,%null%,True,True,Tennessee,Tennessee,22944,6975218,67206,328.93595583679246,328.9,328.9
19,%null%,%null%,True,True,New Hampshire,New Hampshire,4547,1388992,14122,327.35969681610834,327.4,327.4
20,%null%,%null%,True,True,Delaware,Delaware,3278,1003384,12417,326.694465927302,326.7,326.7
21,%null%,%null%,True,True,South Dakota,South Dakota,2910,895376,9242,325.003127177856,325.0,325.0
22,%null%,%null%,True,True,Ohio,Ohio,37571,11780017,120931,318.9384191890385,318.9,318.9
23,%null%,%null%,True,True,Nebraska,Nebraska,6219,1963692,20794,316.6993601847948,316.7,316.7
24,%null%,%null%,True,True,Minnesota,Minnesota,17804,5707390,61488,311.946441368121,311.9,311.9
25,%null%,%null%,True,True,North Dakota,North Dakota,2394,774948,8014,308.9239536072098,308.9,308.9
26,%null%,%null%,True,True,Arizona,Arizona,22453,7276316,79251,308.57648293449597,308.6,308.6
27,%null%,%null%,True,True,District of Columbia,District of Columbia,2037,670050,7741,304.00716364450415,304.0,304.0
28,%null%,%null%,True,True,Alabama,Alabama,15317,5039877,54781,303.91614715994064,303.9,303.9
29,%null%,%null%,True,True,Wisconsin,Wisconsin,17646,5895908,60602,299.2923227431636,299.3,299.3
30,%null%,%null%,True,True,Michigan,Michigan,30065,10050811,100660,299.13009009919693,299.1,299.1
31,%null%,%null%,True,True,Virginia,Virginia,24132,8642274,89698,279.2320632278032,279.2,279.2
32,%null%,%null%,True,True,Nevada,Nevada,8689,3143991,30068,276.36847560950395,276.4,276.4
33,%null%,%null%,True,True,New Mexico,New Mexico,5735,2115877,18088,271.0460012562167,271.0,271.0
34,%null%,%null%,True,True,Pennsylvania,Pennsylvania,35095,12964056,120004,270.71003087305394,270.7,270.7
35,%null%,%null%,True,True,Mississippi,Mississippi,7912,2949965,26022,268.20657194237896,268.2,268.2
36,%null%,%null%,True,True,South Carolina,South Carolina,13895,5190705,47063,267.690034398025,267.7,267.7
37,%null%,%null%,True,True,Connecticut,Connecticut,9642,3605597,37391,267.41757328952735,267.4,267.4
38,%null%,%null%,True,True,North Carolina,North Carolina,27308,10551162,96238,258.81509543688173,258.8,258.8
39,%null%,%null%,True,True,Georgia,Georgia,27927,10799566,105224,258.593724970059,258.6,258.6
40,%null%,%null%,True,True,Massachusetts,Massachusetts,17829,6984723,66163,255.2570803452048,255.3,255.3
41,%null%,%null%,True,True,Illinois,Illinois,31940,12671469,121155,252.0623299476959,252.1,252.1
42,%null%,%null%,True,True,Texas,Texas,73543,29527941,274074,249.06240499464556,249.1,249.1
43,%null%,%null%,True,True,Hawaii,Hawaii,3470,1441553,16005,240.71262034763896,240.7,240.7
44,%null%,%null%,True,True,Rhode Island,Rhode Island,2610,1095610,9453,238.22345542665727,238.2,238.2
45,%null%,%null%,True,True,Maryland,Maryland,14581,6165129,58525,236.5076221438351,236.5,236.5
46,%null%,%null%,True,True,California,California,91598,39237836,384812,233.44304716498638,233.4,233.4
47,%null%,%null%,True,True,Florida,Florida,49146,21781128,181923,225.6356971043924,225.6,225.6
48,%null%,%null%,True,True,New York,New York,43879,19835913,175701,221.20988330610243,221.2,221.2
49,%null%,%null%,True,True,Louisiana,Louisiana,10047,4624047,33652,217.27720328102203,217.3,217.3
50,%null%,%null%,True,True,New Jersey,New Jersey,17937,9267130,79551,193.55507044791645,193.6,193.6
