,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,2170,578803,6790,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),374.9,0.9
1,True,Wisconsin,17646,5895908,60602,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),299.3,0.42
2,True,West Virginia,6269,1782959,18590,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),351.6,0.74
3,True,Washington,27314,7738692,84513,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),353.0,0.78
4,True,Virginia,24132,8642274,89698,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),279.2,0.38
5,True,Vermont,2283,645570,7222,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),353.6,0.8
6,True,Utah,12445,3337975,45342,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),372.8,0.86
7,True,Texas,73543,29527941,274074,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),249.1,0.16
8,True,Tennessee,22944,6975218,67206,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),328.9,0.64
9,True,South Dakota,2910,895376,9242,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),325.0,0.58
10,True,South Carolina,13895,5190705,47063,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),267.7,0.28
11,True,Rhode Island,2610,1095610,9453,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),238.2,0.12
12,True,Pennsylvania,35095,12964056,120004,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),270.7,0.32
13,True,Oregon,17627,4246155,47894,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),415.1,0.98
14,True,Oklahoma,15518,3986639,41809,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),389.3,0.92
15,True,Ohio,37571,11780017,120931,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),318.9,0.56
16,True,North Dakota,2394,774948,8014,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),308.9,0.5
17,True,North Carolina,27308,10551162,96238,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),258.8,0.24
18,True,New York,43879,19835913,175701,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),221.2,0.04
19,True,New Mexico,5735,2115877,18088,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),271.0,0.34
